Distance_(pixels),Gray_Value
0,29005.680
1,28935.215
2,29192.957
3,29209.365
4,28865.895
5,29015.289
6,29443.354
7,29657.752
8,30365.232
9,30869.389
10,31329.574
11,31609.400
12,31624.686
13,31575.174
14,31875.236
15,31886.500
16,31763.344
17,31697.926
18,31963.223
19,31760.605
20,31642.660
21,31634.053
22,31542.268
23,31782.066
24,31652.326
25,31549.582
26,31703.471
27,31592.664
28,31271.779
29,30878.400
30,30302.064
31,29335.252
32,28896.566
33,28641.104
34,28698.238
35,28560.217
36,28357.080
37,28477.980
38,28580.209
