Distance_(pixels),Gray_Value
0,28621.490
1,28592.020
2,28636.369
3,28700.369
4,28754.420
5,29047.896
6,29901.197
7,30309.617
8,30900.936
9,31198.160
10,31553.271
11,31662.551
12,31594.518
13,31656.242
14,31530.070
15,31472.443
16,31925.031
17,31670.867
18,31430.295
19,31682.482
20,31880.693
21,31865.445
22,31738.730
23,31700.615
24,31539.936
25,31586.590
26,31584.459
27,31408.297
28,31347.285
29,31239.904
30,31141.422
31,30498.781
32,29676.340
33,29036.752
34,29173.955
35,29293.824
36,29300.377
37,29178.662
38,29023.828
39,28872.371
40,28874.775
41,28851.781
