Distance_(pixels),Gray_Value
0,27628.711
1,27809.189
2,27806.688
3,28007.012
4,27850.688
5,27985.504
6,28081.730
7,28104.109
8,28142.576
9,28165.561
10,27945.312
11,27853.643
12,28003.211
13,28160.244
14,28096.604
15,28171.877
16,28358.588
17,28511.605
18,28268.689
19,28261.016
20,28730.014
21,29133.371
22,29134.023
23,29176.000
24,29280.941
25,29460.455
26,29661.141
27,29634.695
28,29606.359
29,29656.283
30,29677.705
31,29652.498
32,29550.480
33,29560.432
34,29610.180
35,29258.330
36,28925.389
37,28796.283
38,28724.758
39,28695.973
40,28673.035
41,28586.367
42,28457.934
43,28516.832
44,28170.121
45,28000.814
46,28054.176
47,28007.295
48,27712.822
49,27565.980
50,27846.088
51,28024.338
52,28063.084
53,27876.980
54,27773.455
55,27612.219
56,27638.844
57,27762.084
58,27749.373
59,27641.490
60,27620.025
61,27664.771
62,27808.500
63,27938.742
64,27903.652
