Distance_(pixels),Gray_Value
0,27733.527
1,27711.566
2,27841.004
3,27825.266
4,27723.936
5,27845.422
6,27969.896
7,27824.334
8,27785.697
9,27797.758
10,27874.701
11,27799.797
12,27810.469
13,27875.164
14,27902.412
15,27716.830
16,27706.777
17,27899.156
18,27846.412
19,28056.447
20,28304.385
21,28520.447
22,28627.930
23,28589.469
24,28785.656
25,28936.891
26,28896.539
27,29149.348
28,29352.619
29,29458.699
30,29466.570
31,29616.314
32,29516.223
33,29583.387
34,29602.541
35,29629.785
36,29584.934
37,29710.467
38,29446.902
39,29119.986
40,28936.260
41,28974.559
42,28782.742
43,28721.154
44,28622.080
45,28370.201
46,28070.246
47,27999.008
48,27868.916
49,27771.223
50,27795.604
51,27947.969
52,27831.836
53,27824.715
54,28002.498
55,27944.055
56,27830.264
57,27765.629
58,27781.527
59,27846.727
60,27843.916
61,27505.203
62,27600.020
63,27724.709
64,27621.555
