Distance_(inches),Gray_Value
0.00000,0.253
0.01389,0.800
0.02778,1.346
0.04167,0.799
0.05556,0.501
0.06944,0.498
0.08333,0.200
0.09722,0.798
0.11111,1.002
0.12500,1.557
0.13889,2.042
0.15278,2.788
0.16667,1.202
0.18056,1.438
0.19444,1.199
0.20833,0.802
0.22222,0.800
0.23611,1.306
0.25000,1.657
0.26389,1.823
0.27778,1.497
0.29167,0.202
0.30556,0.657
0.31944,1.553
0.33333,2.315
0.34722,0.807
0.36111,1.257
0.37500,2.488
0.38889,1.020
0.40278,0.745
0.41667,0.845
0.43056,1.659
0.44444,1.457
0.45833,0.544
0.47222,1.816
0.48611,2.397
0.50000,1.070
0.51389,1.452
0.52778,0.864
0.54167,1.165
0.55556,0.749
0.56944,1.193
0.58333,0.399
0.59722,0.564
0.61111,1.005
0.62500,1.630
0.63889,0.838
0.65278,1.103
0.66667,1.567
0.68056,1.233
0.69444,1.199
0.70833,0.803
0.72222,0.701
0.73611,1.628
0.75000,0.771
0.76389,1.169
0.77778,1.731
0.79167,1.049
0.80556,2.255
0.81944,3.188
0.83333,2.674
0.84722,1.367
0.86111,1.033
0.87500,1.961
0.88889,2.796
0.90278,3.469
0.91667,3.542
0.93056,5.166
0.94444,5.815
0.95833,4.574
0.97222,4.398
0.98611,7.987
1.00000,8.061
1.01389,9.248
1.02778,11.275
1.04167,10.774
1.05556,15.505
1.06944,17.879
1.08333,23.080
1.09722,21.145
1.11111,28.988
1.12500,26.766
1.13889,24.378
1.15278,31.134
1.16667,28.558
1.18056,24.516
1.19445,19.359
1.20833,23.985
1.22222,23.542
1.23611,22.116
1.25000,24.565
1.26389,27.919
1.27778,30.790
1.29167,29.056
1.30556,24.137
1.31945,25.572
1.33333,26.583
1.34722,27.076
1.36111,27.366
1.37500,26.740
1.38889,30.080
1.40278,34.042
1.41667,31.121
1.43056,26.220
1.44445,27.456
1.45833,25.254
1.47222,25.289
1.48611,22.895
1.50000,27.081
1.51389,25.063
1.52778,27.370
1.54167,29.189
1.55556,29.261
1.56945,27.362
1.58333,26.332
1.59722,30.334
1.61111,31.553
1.62500,29.841
1.63889,31.214
1.65278,31.028
1.66667,31.762
1.68056,29.093
1.69445,34.763
1.70833,32.510
1.72222,34.242
1.73611,35.292
1.75000,33.509
1.76389,36.786
1.77778,35.039
1.79167,39.451
1.80556,36.855
1.81945,39.953
1.83333,44.751
1.84722,41.771
1.86111,35.179
1.87500,35.049
1.88889,34.172
1.90278,32.587
1.91667,33.289
1.93056,33.419
1.94445,31.598
1.95833,31.692
1.97222,31.691
1.98611,31.351
2.00000,27.988
2.01389,28.919
2.02778,30.422
2.04167,26.313
2.05556,25.833
2.06945,25.071
2.08333,23.107
2.09722,27.564
2.11111,26.042
2.12500,26.046
2.13889,24.993
2.15278,28.347
2.16667,24.877
2.18056,25.952
2.19445,29.115
2.20833,28.653
2.22222,28.307
2.23611,30.151
2.25000,30.568
2.26389,28.115
2.27778,27.890
2.29167,29.015
2.30556,35.206
2.31945,31.924
2.33333,30.461
2.34722,28.676
2.36111,24.625
2.37500,28.515
2.38889,29.377
2.40278,28.691
2.41667,30.999
2.43056,34.833
2.44445,34.489
2.45833,37.298
2.47222,31.254
2.48611,32.554
2.50000,37.878
2.51389,39.592
2.52778,37.021
2.54167,39.436
2.55556,45.083
2.56945,52.652
2.58333,60.436
2.59722,64.877
2.61111,68.157
2.62500,87.163
2.63889,92.590
2.65278,121.818
2.66667,123.049
2.68056,134.139
2.69445,132.012
2.70833,129.439
2.72222,124.696
2.73611,125.861
2.75000,108.389
2.76389,97.305
2.77778,87.068
2.79167,86.629
2.80556,81.135
2.81945,72.184
2.83333,57.053
2.84722,51.949
2.86111,52.653
2.87500,50.833
2.88889,50.088
2.90278,53.001
2.91667,59.376
2.93056,56.606
2.94445,59.586
2.95833,60.381
2.97222,64.577
2.98611,64.149
3.00000,60.525
3.01389,65.223
3.02778,59.498
3.04167,66.148
3.05556,59.914
3.06945,56.464
3.08333,54.199
3.09722,54.417
3.11111,48.373
3.12500,48.307
3.13889,46.265
3.15278,44.404
3.16667,40.820
3.18056,42.660
3.19445,44.138
3.20833,42.550
3.22222,41.536
3.23611,37.433
3.25000,36.643
3.26389,40.052
3.27778,32.225
3.29167,35.230
3.30556,29.590
3.31945,28.062
3.33333,28.533
3.34722,28.235
3.36111,30.721
3.37500,30.750
3.38889,30.766
3.40278,25.400
3.41667,26.472
3.43056,23.057
3.44445,28.510
3.45833,31.814
3.47222,30.083
3.48611,26.844
3.50000,24.930
3.51389,25.909
3.52778,26.683
3.54167,27.934
3.55556,32.035
3.56945,28.515
3.58333,28.043
3.59722,30.336
3.61111,30.697
3.62500,30.133
3.63889,29.832
3.65278,29.065
3.66667,32.278
3.68056,39.408
3.69445,41.370
3.70834,38.566
3.72222,41.424
3.73611,40.537
3.75000,46.732
3.76389,59.536
3.77778,70.477
3.79167,77.936
3.80556,102.001
3.81945,126.159
3.83334,142.792
3.84722,159.628
3.86111,152.158
3.87500,146.317
3.88889,140.502
3.90278,155.693
3.91667,126.772
3.93056,131.763
3.94445,117.500
3.95834,102.760
3.97222,97.906
3.98611,87.232
4.00000,82.370
4.01389,64.721
4.02778,57.079
4.04167,46.317
4.05556,46.966
4.06945,44.914
4.08334,38.658
4.09722,42.273
4.11111,45.419
4.12500,41.293
4.13889,44.871
4.15278,39.518
4.16667,42.423
4.18056,38.262
4.19445,47.062
4.20834,44.425
4.22222,41.437
4.23611,46.412
4.25000,37.793
4.26389,38.786
4.27778,39.498
4.29167,40.583
4.30556,40.942
4.31945,44.670
4.33334,38.835
4.34722,32.772
4.36111,32.981
4.37500,34.157
4.38889,36.732
4.40278,41.615
4.41667,37.819
4.43056,36.123
4.44445,33.479
4.45834,30.680
4.47222,29.522
4.48611,29.912
4.50000,28.460
4.51389,32.004
4.52778,28.659
4.54167,28.593
4.55556,28.059
4.56945,26.413
4.58334,27.768
4.59722,30.261
4.61111,29.569
4.62500,26.947
4.63889,28.337
4.65278,28.069
4.66667,26.168
4.68056,24.517
4.69445,28.153
4.70834,29.496
4.72222,36.275
4.73611,34.424
4.75000,29.086
4.76389,30.955
4.77778,29.663
4.79167,31.581
4.80556,29.874
4.81945,29.374
4.83334,36.928
4.84722,34.649
4.86111,33.144
4.87500,33.695
4.88889,34.357
4.90278,38.668
4.91667,31.483
4.93056,30.794
4.94445,28.205
