Distance_(pixels),Gray_Value
0,0.863
1,0.844
2,1.225
3,0.718
4,0.683
5,0.255
6,0.080
7,1.327
8,1.024
9,0.726
10,0.959
11,1.160
12,0.628
13,0.663
14,0.643
15,1.075
16,2.098
17,1.508
18,2.157
19,1.651
20,0.909
21,2.194
22,4.951
23,3.851
24,4.643
25,4.307
26,6.658
27,5.286
28,7.678
29,11.667
30,10.821
31,15.068
32,19.167
33,22.799
34,23.504
35,22.569
36,20.248
37,25.558
38,28.735
39,25.096
40,28.054
41,26.077
42,38.147
43,35.916
44,36.704
45,31.608
46,34.425
47,34.635
48,38.125
49,38.984
50,35.957
51,36.236
52,35.236
53,35.951
54,33.514
55,35.916
56,36.353
57,34.350
58,32.468
59,33.274
60,32.314
61,38.715
62,35.596
63,34.289
64,31.869
65,26.859
66,37.346
67,42.188
68,45.232
69,40.462
70,34.798
71,30.921
72,37.562
73,36.133
74,47.534
75,39.416
76,35.163
77,39.998
78,36.619
79,40.469
80,51.603
81,48.547
82,61.490
83,53.285
84,43.606
85,47.624
86,45.231
87,47.150
88,54.048
89,56.597
90,59.259
91,54.715
92,52.293
93,41.197
94,36.747
95,39.996
96,39.711
97,46.333
98,41.164
99,38.956
100,40.157
101,40.305
102,37.983
103,39.092
104,37.214
105,39.643
106,45.129
107,34.613
108,37.344
109,37.065
110,31.839
111,33.510
112,35.846
113,34.111
114,37.049
115,36.896
116,39.048
117,33.333
118,40.914
119,34.875
120,37.603
121,37.430
122,32.486
123,35.109
124,35.681
125,38.835
126,39.189
127,38.320
128,36.297
129,35.102
130,34.685
131,36.243
132,40.092
133,36.779
134,39.653
135,39.783
136,38.547
137,40.650
138,42.376
139,41.222
140,49.232
141,64.140
142,64.148
143,68.684
144,61.694
145,80.704
146,82.252
147,94.904
148,97.775
149,107.238
150,120.585
151,125.921
152,125.552
153,134.106
154,138.290
155,126.696
156,112.789
157,99.549
158,86.419
159,75.330
160,73.616
161,77.671
162,67.412
163,73.880
164,69.407
165,72.469
166,61.590
167,60.286
168,55.293
169,62.142
170,65.704
171,70.088
172,70.456
173,74.150
174,73.072
175,76.086
176,68.438
177,62.222
178,64.507
179,59.555
180,63.889
181,59.445
182,63.195
183,62.166
184,60.148
185,56.945
186,50.442
187,56.841
188,51.631
189,49.618
190,37.353
191,41.656
192,48.689
193,36.128
194,38.798
195,36.973
196,32.828
197,26.913
198,25.584
199,33.268
