Distance_(pixels),Gray_Value
0,27878.701
1,28170.914
2,28441.229
3,28541.215
4,28603.055
5,28434.840
6,28440.291
7,28336.412
8,28571.453
9,28980.158
10,29649.807
11,30480.102
12,31143.023
13,31492.234
14,31813.631
15,31869.551
16,31647.531
17,31709.641
18,31501.826
19,31650.541
20,31676.807
21,31686.480
22,31524.602
23,31774.768
24,32161.006
25,31591.691
26,31697.027
27,31961.840
28,31770.480
29,31449.152
30,31451.006
31,31326.018
32,31116.656
33,30618.125
34,30219.523
35,29723.988
36,29341.959
37,29292.348
38,29159.004
39,29131.820
40,29013.641
41,29151.799
42,29313.039
43,29095.967
44,28955.283
45,28922.410
46,29091.633
47,29080.113
48,29027.336
49,28997.312
50,28928.750
51,28853.723
